A,Analysis (00 hour)
B,6 hours forecast
C,12 hours forecast
D,18 hours forecast
E,24 hours forecast
F,30 hours forecast
G,36 hours forecast
H,42 hours forecast
I,48 hours forecast
J,60 hours forecast
K,72 hours forecast
L,84 hours forecast
M,96 hours forecast
N,108 hours forecast
O,120 hours forecast (5 days)
P,132 hours forecast
Q,144 hours forecast
R,156 hours forecast (7 days)
S,168 hours forecast
T,10 days forecast
U,15 days forecast
V,30 days forecast
"...Z",Not assigned
