FA,01–49,Aviation area/advisories,FM 53 (ARFOR) [text]
FA,50–59,GAMET,[TEXT]
FA,60–99,Not assigned,Not assigned
UA,01–59,Routine aircraft reports,ICAO AIREP
UA,60–69,"Special aircraft reports, except for volcanic ash",ICAO AIREP
UA,70–79,"Special aircraft reports, related to volcanic ash",ICAO AIREP
UA,80–99,Routine aircraft reports,ICAO AIREP
